addr;name;type;unit;scale;detail
558;Fault Code 2 (high);value;;1;
586;Battery Temperatur;temp;°C;0.1;raw*0.1-100
587;Battery Voltage;value;V;0.01;
588;Battery SOC;value;%;1;
590;Battery Power;value;W;1;
591;Battery Current;value;A;0.02;
592;Battery Corrected AH;value;Ah;1;
598;Grid L1 Voltage;value;V;0.1;
599;Grid L2 Voltage;value;V;0.1;
600;Grid L3 Voltage;value;V;0.1;
601;Grid Line Voltage AB;value;V;0.1;
602;Grid Line Voltage BC;value;V;0.1;
603;Grid Line Voltage CA;value;V;0.1;
604;Grid Inner A Power;value;W;1;
605;Grid Inner B Power;value;W;1;
606;Grid Inner C Power;value;W;1;
607;Grid Inner Total Active;value;W;1;
608;Grid Inner Apparent;value;VA;1;
609;Grid Frequency;value;Hz;0.01;
610;Grid Current L1;value;A;0.01;
611;Grid Current L2;value;A;0.01;
612;Grid Current L3;value;A;0.01;
613;Grid CT Current L1;value;A;0.01;
614;Grid CT Current L2;value;A;0.01;
615;Grid CT Current L3;value;A;0.01;
616;Grid CT L1 Power;value;W;1;
617;Grid CT L2 Power;value;W;1;
618;Grid CT L3 Power;value;W;1;
619;Grid CT Total Power;value;W;1;
620;Grid Ext Total Apparent;value;VA;1;
621;Grid Power Factor;value;;0.001;
622;Grid L1 Power;value;W;1;
623;Grid L2 Power;value;W;1;
624;Grid L3 Power;value;W;1;
625;Grid Total Power;value;W;1;
627;Inverter L1 Voltage;value;V;0.1;
628;Inverter L2 Voltage;value;V;0.1;
629;Inverter L3 Voltage;value;V;0.1;
630;Inverter L1 Current;value;A;0.01;
631;Inverter L2 Current;value;A;0.01;
632;Inverter L3 Current;value;A;0.01;
633;Inverter L1 Power;value;W;1;
634;Inverter L2 Power;value;W;1;
635;Inverter L3 Power;value;W;1;
636;Inverter Total Power;value;W;1;
637;Inverter Total Apparent;value;VA;1;
638;Inverter Frequency;value;Hz;0.01;
640;UPS Load L1 Power;value;W;1;
641;UPS Load L2 Power;value;W;1;
642;UPS Load L3 Power;value;W;1;
643;UPS Load Total Power;value;W;1;
644;Load L1 Voltage;value;V;0.1;
645;Load L2 Voltage;value;V;0.1;
646;Load L3 Voltage;value;V;0.1;
647;Load Current L1;value;A;0.01;
648;Load Current L2;value;A;0.01;
649;Load Current L3;value;A;0.01;
650;Load L1 Power;value;W;1;
651;Load L2 Power;value;W;1;
652;Load L3 Power;value;W;1;
653;Load Total Power;value;W;1;
654;Load Total Apparent;value;VA;1;
655;Load Frequency;value;Hz;0.01;
661;Gen L1 Voltage;value;V;0.1;
662;Gen L2 Voltage;value;V;0.1;
663;Gen L3 Voltage;value;V;0.1;
664;Gen L1 Power;value;W;1;
665;Gen L2 Power;value;W;1;
666;Gen L3 Power;value;W;1;
667;Gen Total Power;value;W;1;
671;Gen L1 Current;value;A;0.01;
672;PV1 Power;value;W;1;
673;PV2 Power;value;W;1;
674;PV3 Power;value;W;1;
675;PV4 Power;value;W;1;
676;PV1 Voltage;value;V;0.1;
677;PV1 Current;value;A;0.1;
678;PV2 Voltage;value;V;0.1;
679;PV2 Current;value;A;0.1;
680;PV3 Voltage;value;V;0.1;
681;PV3 Current;value;A;0.1;
682;PV4 Voltage;value;V;0.1;
683;PV4 Current;value;A;0.1;
1000;Grid Power Check Mode;format;;;Meter
